config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.10932416701689363,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,at_max_depth,0,246,6852,0,0,0,0.0,{},0.00016491697169840336,0.020394189981743693,0.0018120624590665102,0.00411954103037715,0.01824013818986714,0.08029665821231902,0.006478453520685434,2.445909194648266e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.044031166937202215,False,720,521,4069,2,2,2,1.0,5,5,5,False,at_max_depth,0,142,3346,0,0,0,0.0,{},1.375097781419754e-06,0.009801649954169989,0.0009321118704974651,1.2750038877129555e-05,0.010798822855576873,0.03046774654649198,0.0026915145572274923,5.8957841247320175e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.09911012486554682,False,1204,809,7698,26,8,8,1.0,5,5,5,False,at_max_depth,0,277,6493,0,0,0,0.0,{},4.249857738614082e-06,0.018827449763193727,0.0018072223756462336,8.062506094574928e-05,0.02070971578359604,0.07361924974247813,0.004681201418861747,1.5083001926541328e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.010464583057910204,False,191,124,970,2,2,2,1.0,5,5,5,False,at_max_depth,0,27,779,0,0,0,0.0,{},1.416075974702835e-06,0.0023349628318101168,0.00022999709472060204,1.1250143870711327e-05,0.0025726621970534325,0.007141998503357172,0.0007204222492873669,1.6833888366818428e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.023824875010177493,False,462,205,3810,23,8,8,1.0,5,5,5,False,at_max_depth,0,121,3348,0,0,0,0.0,{},3.4170225262641907e-06,0.009137133369222283,0.000873158685863018,6.49159774184227e-05,0.0100061628036201,0.012010581092908978,0.0017286310903728008,1.1167023330926895e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.058218040969222784,False,774,557,5346,1678,8,8,1.0,5,5,5,False,at_max_depth,0,121,4506,0,0,0,0.0,{},0.00018279184587299824,0.012674305820837617,0.0010120747610926628,0.00414866697974503,0.009624366415664554,0.04130803910084069,0.0029297196306288242,2.4456996470689774e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.3112112919334322,False,4420,3158,22182,29,8,8,1.0,5,5,5,False,at_max_depth,0,904,17629,0,0,0,0.0,{},3.834022209048271e-06,0.052340636029839516,0.005288181593641639,7.979199290275574e-05,0.05804743035696447,0.23702302062883973,0.016045465134084225,1.174979843199253e-05,False,False
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.055410291999578476,False,888,619,4730,37,8,8,1.0,5,5,5,False,at_max_depth,0,145,3783,0,0,0,0.0,{},4.749977961182594e-06,0.011395110515877604,0.001083493698388338,0.0001044590026140213,0.012472991365939379,0.03944518486969173,0.0033705737441778183,1.2333039194345474e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.04396291705779731,False,733,522,3949,2,2,2,1.0,5,5,5,False,at_max_depth,0,145,3193,0,0,0,0.0,{},1.125037670135498e-06,0.009288641158491373,0.0009241648949682713,7.2498805820941925e-06,0.010283599607646465,0.030909740831702948,0.002690576482564211,7.062521763145924e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,8,,aggressive,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.0008271657861769199,False,23,6,224,3,3,3,1.0,5,5,5,False,at_max_depth,0,10,194,0,0,0,0.0,{},1.3329554349184036e-06,0.0005243755877017975,6.150221452116966e-05,1.1542113497853279e-05,0.0005813327152282,0.00012950017116963863,8.691730909049511e-05,1.6540521755814552e-05,True,True
pvs_d5_b8__fixed,pvs,5,8,,fixed,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.09354225010611117,False,1481,1103,8216,1686,8,8,1.0,5,5,5,False,adaptive_disabled,0,278,6735,0,1101,1,0.0009082652134423251,{},0.00017620902508497238,0.019519243389368057,0.0016873565036803484,0.0041712080128490925,0.01718075294047594,0.06636833888478577,0.00562165817245841,2.408307045698166e-05,True,True
