config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,elapsed_ratio,target_elapsed_ratio,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.31189070898108184,0.31189070898108184,0.5198178483018031,False,4420,3158,22182,29,8,8,1.0,5,5,6,True,recovered,0,904,17629,0,0,0,0.0,{},4.415865987539291e-06,0.052052241982892156,0.005326620768755674,7.824995554983616e-05,0.05778356618247926,0.2378876239527017,0.016124268993735313,1.2584030628204346e-05,False,False
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→20,9,20,-667.0,0.1577275840099901,0.1577275840099901,0.2628793066833168,False,2612,1661,17567,37,8,8,1.0,6,6,6,False,recovery_wait,1,703,14836,0,0,0,0.0,{},4.624947905540466e-06,0.04100980213843286,0.004049947485327721,9.962520562112331e-05,0.045302032958716154,0.10269558965228498,0.009612002409994602,1.370883546769619e-05,False,False
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,-738.0,0.15749216708354652,0.15749216708354652,0.2624869451392442,False,2672,1849,14811,2,2,2,1.0,6,6,7,True,recovered,0,569,12047,0,0,0,0.0,{},1.2919772416353226e-06,0.03464645869098604,0.003514010226354003,7.58306123316288e-06,0.038455141708254814,0.10907277627848089,0.009892415022477508,6.295903585851192e-05,True,False
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.002726334147155285,0.002726334147155285,0.004543890245258808,False,71,24,852,3,3,3,1.0,7,7,7,False,at_max_depth,0,34,771,0,0,0,0.0,{},1.4170072972774506e-06,0.001999335130676627,0.00019375397823750973,1.2666918337345123e-05,0.002197541296482086,0.00023741531185805798,0.000258793355897069,1.8500257283449173e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,-597.0,0.10779808391816914,0.10779808391816914,0.10779808391816914,False,1899,992,15548,1686,8,8,1.0,6,6,6,False,adaptive_disabled,0,0,0,13645,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",0.00015854090452194214,0.0362423004116863,0.002645312575623393,0.004027666989713907,0.03524221992120147,0.06162671628408134,0.0067153137642890215,2.7626054361462593e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→54,35,54,-190.0,0.04438845789991319,0.04438845789991319,0.04438845789991319,False,734,384,5051,2,2,2,1.0,6,6,6,False,adaptive_disabled,0,0,0,4317,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",1.250067725777626e-06,0.011953240726143122,0.0009328958112746477,9.167008101940155e-06,0.01302412198856473,0.02876516431570053,0.0025116298347711563,7.712468504905701e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,-110.0,0.22076229215599597,0.22076229215599597,0.22076229215599597,False,2936,1536,20933,26,8,8,1.0,6,6,6,False,adaptive_disabled,0,0,0,17997,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",4.291068762540817e-06,0.04912379686720669,0.0037358927074819803,7.658288814127445e-05,0.053349673049524426,0.15747896255925298,0.009839031379669905,1.3751210644841194e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→59,63,59,-569.0,0.016721458174288273,0.016721458174288273,0.016721458174288273,False,335,142,2526,2,2,2,1.0,6,6,6,False,adaptive_disabled,0,0,0,2191,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",1.291045919060707e-06,0.005961204646155238,0.00044640759006142616,9.665964171290398e-06,0.006467993371188641,0.009037336567416787,0.0011384200770407915,6.67511485517025e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999997.0,0.09316083299927413,0.09316083299927413,0.09316083299927413,False,1851,778,14634,23,8,8,1.0,6,6,6,False,adaptive_disabled,0,0,0,12783,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",3.915978595614433e-06,0.03454618575051427,0.0025675450451672077,6.666709668934345e-05,0.03739856625907123,0.049180365866050124,0.006498025730252266,1.3292068615555763e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,63→63,63,63,-159.0,0.16490758280269802,0.16490758280269802,0.16490758280269802,False,2265,1184,16552,1678,8,8,1.0,6,6,6,False,adaptive_disabled,0,0,0,14282,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",0.00015900004655122757,0.042445965111255646,0.0033442287240177393,0.004108416149392724,0.04221328953281045,0.1100991708226502,0.008299706503748894,2.7999747544527054e-05,True,True
beam_negamax_d6_w8-6-4-2__fixed,beam_negamax,6,6,6,1.0,,8-6-4-2,fixed,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→8,2,8,-79.0,0.16004233295097947,0.16004233295097947,0.16004233295097947,False,2204,1070,17705,29,8,8,1.0,6,6,6,False,adaptive_disabled,0,0,0,15334,0,0,0.0,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",4.542060196399689e-06,0.04031420988030732,0.002886394504457712,8.104206062853336e-05,0.0435741413384676,0.10879938793368638,0.007569220848381519,1.3998709619045258e-05,True,True
