match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D5000_seed0_graph_control_vs_pvs_rep0,13,5000,80-100%,0.9976,False,5,0.6042485443900922,0.20862303094779852,1,5,False,0.6042485443900922,True,True,True,local_only,,,0.004605415975674987,0.0021445000311359763,0.0001295432448387146,0.0002443749690428376
D5000_seed0_graph_control_vs_pvs_rep0,15,5000,80-100%,0.9972,False,25,1.0523384749555706,0.2551436126640297,1,24,False,1000000009.6540313,True,False,False,both,,,0.023470250074751675,0.010944126872345805,0.000609419890679419,0.00121896096970886
D5000_seed0_graph_control_vs_pvs_rep0,17,5000,80-100%,0.9968,False,4,0.2692915705741008,0.10734066739816962,1,4,False,0.2692915705741008,True,True,True,local_only,,,0.0035600829869508743,0.0015954580157995224,0.00010233395732939243,0.00019645981956273317
D5000_seed0_graph_control_vs_pvs_rep0,19,5000,80-100%,0.9964,False,4,0.2730076668540846,0.10845728253863075,1,4,False,0.2730076668540846,True,True,True,local_only,,,0.003244791994802654,0.0014337081229314208,8.700008038431406e-05,0.00016578985378146172
D5000_seed0_graph_control_vs_pvs_rep0,21,5000,80-100%,0.996,False,3,0.21770208341159858,0.09003051264962657,1,3,False,0.21770208341159858,True,True,True,local_only,,,0.002980667049996555,0.0013392498949542642,8.350005373358727e-05,0.0001450410345569253
D5000_seed0_graph_control_vs_pvs_rep0,23,5000,80-100%,0.9956,False,2,0.07839788760965938,0.03919894380482969,1,2,False,0.07839788760965938,True,True,True,local_only,,,0.0019107500556856394,0.0008120830170810223,5.370797589421272e-05,0.00010012486018240452
D5000_seed0_graph_control_vs_pvs_rep0,25,5000,80-100%,0.9952,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,,,0.0011970000341534615,0.0005234170239418745,3.699993249028921e-05,6.94170594215393e-05
D5000_seed0_graph_control_vs_beam_negamax_rep0,1,5000,80-100%,1.0,False,1364,4.654144874068136,0.38537904201744627,1,108,False,1000000013.1680205,False,False,False,both,,,1.0039708750555292,0.34197696670889854,0.019838418113067746,0.040433382731862366
D5000_seed0_graph_control_vs_beam_negamax_rep0,3,5000,80-100%,0.9996,False,6,1.4289439176484038,0.49198939287853655,1,5,False,1000000010.394027,True,False,False,both,,,0.004901041043922305,0.002132582012563944,0.00011670810636132956,0.00020512298215180635
D5000_seed0_graph_control_vs_beam_negamax_rep0,5,5000,80-100%,0.9992,False,17,1.0520386502687593,0.32607829623652407,1,16,False,1000000009.6541744,True,False,False,both,,,0.013072666944935918,0.006142831291072071,0.00032800238113850355,0.000652122893370688
D5000_seed0_graph_control_vs_beam_negamax_rep0,7,5000,80-100%,0.9988,False,19,1.350671377600566,0.34781605542907407,1,18,False,1000000010.2510091,True,False,False,both,,,0.016022166935727,0.007704995106905699,0.0004154592752456665,0.0008170368382707238
D5000_seed0_graph_control_vs_beam_negamax_rep0,9,5000,80-100%,0.9984,False,30,1.789118574150523,0.3231815333580317,1,29,False,1000000010.3910774,True,False,False,both,,,0.02612933306954801,0.012348953867331147,0.0006897082785144448,0.0013602448161691427
D5000_seed0_graph_control_vs_beam_negamax_rep0,11,5000,80-100%,0.998,False,16,1.006429955906727,0.31502417071588806,1,15,False,1000000009.6083001,True,False,False,both,,,0.014103416004218161,0.00680903997272253,0.00036029203329235315,0.0007205819711089134
D5000_seed0_graph_control_vs_beam_negamax_rep0,13,5000,80-100%,0.9976,False,4,1.3782313440010334,0.5564750802951222,1,4,False,1.3782313440010334,True,True,True,local_only,,,0.003606082987971604,0.0016982079250738025,9.820912964642048e-05,0.00017675093840807676
D5000_seed0_graph_control_vs_beam_negamax_rep0,15,5000,80-100%,0.9972,False,3,0.23146981953477663,0.09613183545989054,1,3,False,0.23146981953477663,True,True,True,local_only,,,0.002746916958130896,0.0011999589623883367,7.375096902251244e-05,0.0001408339012414217
D5000_seed0_graph_control_vs_beam_negamax_rep0,17,5000,80-100%,0.9968,False,3,0.25826225233704925,0.10812213504463526,1,3,False,0.25826225233704925,True,True,True,local_only,,,0.002706291968934238,0.001174165983684361,7.325015030801296e-05,0.00014049909077584743
