agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta,0,,{},8,0.0493329600431025,0.006638166261836886,early,8,alpha_beta_d5_b8__aggressive,121,5,5,5,at_max_depth,False,5,0.2405756248626858,35,0.16919503011740744,557,1678,0.0007515409961342812,774,0,5346,9.608292020857334e-05,seed1_early_t0,aggressive,4506,0,0.04027433227747679,0.0138715545181185,5000,0,0.0,normal,1678,1.0,0.016387084033340216,758.5,1,13→35,8,0,tuning,13,False,0,True,True
alpha_beta,0,,{},8,0.15391130559146404,0.03691777936182916,early_pruning,5,alpha_beta_d5_b8__aggressive,654,5,4,5,timeout,True,5,1.0000724999699742,56,0.7439352748915553,2314,29,2.133287489414215e-05,3235,0,16267,5.258433520793915e-05,seed1_early_pruning_t75,aggressive,12905,0,0.19470271072350442,0.06107038934715092,66,0,0.0,normal,29,0.625,0.0002902077976614237,787.0,1,2→56,8,1,tuning,2,True,75,False,False
alpha_beta,0,,{},8,0.018253038870170712,0.0026025823317468166,middle,8,alpha_beta_d5_b8__aggressive,76,5,4,4,recovery_wait,False,4,0.073842957848683,20,0.04591138078831136,186,37,2.0124949514865875e-05,289,0,2044,0.0001181657426059246,seed1_middle_t120,aggressive,1742,1,0.020701080560684204,0.006633663782849908,90,0,0.0,normal,37,1.0,0.0004585420247167349,-768.0,1,9→20,8,2,tuning,9,False,120,False,False
alpha_beta,0,,{},8,0.012339293723925948,0.0018149549141526222,few_legal,2,alpha_beta_d5_b8__aggressive,28,5,4,4,recovery_wait,False,4,0.06059454218484461,2,0.04155595554038882,167,2,9.624985978007317e-06,219,0,1008,0.0001947504933923483,seed1_few_legal_t121,aggressive,782,2,0.014342707581818104,0.004438753705471754,4,0,0.0,critical,2,1.0,5.274987779557705e-05,-667.0,1,20→2,2,3,tuning,20,False,121,True,False
alpha_beta,0,,{},8,0.0010478729382157326,0.00018458347767591476,late,3,alpha_beta_d5_b8__aggressive,3,5,5,4,recovered,True,4,0.002241124864667654,63,0.0007080009672790766,8,3,8.999835699796677e-06,17,0,144,7.495889440178871e-05,seed1_late_t236,aggressive,122,0,0.001188959926366806,0.00019583012908697128,4,0,0.0,danger,3,1.0,6.437511183321476e-05,-999996.0,1,35→63,3,4,tuning,35,False,236,True,True
pvs,0,,{},8,0.14142117742449045,0.025594835868105292,early,8,pvs_d6_b8__fixed,451,6,6,6,adaptive_disabled,False,6,0.573733750032261,35,0.35381208593025804,1218,1686,0.0007268749177455902,1791,1217,12877,9.349919855594635e-05,seed0_early_t0,fixed,11079,0,0.13674404192715883,0.04989833105355501,5000,0,0.0,normal,1686,1.0,0.0324589170049876,-597.0,0,1→35,8,0,tuning,1,False,0,True,True
pvs,0,,{},8,0.18244514567777514,0.030403900425881147,few_legal,1,pvs_d6_b8__fixed,709,6,6,6,adaptive_disabled,False,6,1.0008389581926167,32,0.7058090907521546,2767,2,7.500173524022102e-06,3758,2750,17661,0.0007669159676879644,seed0_few_legal_t6,fixed,13893,0,0.21664961730130017,0.07754870899952948,2,16,0.005818181818181818,critical,2,0.5,5.7124998420476913e-05,-619.0,0,35→32,2,1,tuning,35,True,6,False,False
pvs,0,,{},8,0.13250717148184776,0.020338234724476933,early_pruning,8,pvs_d6_b8__fixed,458,6,6,6,adaptive_disabled,False,6,0.7022012500092387,66,0.5018843319267035,1392,26,2.050003968179226e-05,2110,1384,12853,5.758390761911869e-05,seed0_early_pruning_t17,fixed,10746,0,0.15488149086013436,0.0450243023224175,44,7,0.0050578034682080926,normal,26,1.0,0.0003330409526824951,-807.5,0,28→66,8,2,tuning,28,False,17,True,True
pvs,0,,{},8,0.12924378784373403,0.02195300650782883,middle,2,pvs_d6_b8__fixed,214,6,6,6,adaptive_disabled,False,6,0.4446409170050174,63,0.2617999624926597,621,2,1.333397813141346e-05,955,676,5578,8.233217522501945e-05,seed0_middle_t27,fixed,4638,0,0.1526092984713614,0.030050531029701233,2,15,0.022189349112426034,critical,2,1.0,8.545885793864727e-05,-797.0,0,63→63,2,3,tuning,63,False,27,True,True
pvs,0,,{},8,0.12990468321368098,0.015095750102773309,late,8,pvs_d6_b8__fixed,528,6,6,6,adaptive_disabled,False,6,0.2819690420292318,28,0.11081421258859336,448,23,1.9416911527514458e-05,1438,792,13559,5.762535147368908e-05,seed0_late_t49,fixed,12144,0,0.14581645419821143,0.024753208039328456,78,23,0.02904040404040404,normal,23,1.0,0.000508124940097332,999995.0,0,11→28,8,4,tuning,11,False,49,True,True
