config_id,agent,position_id,seed,risk_level,repetition,selected_edge,score,elapsed_time_sec,timed_out,nodes_searched,completed_root_moves,effective_depth
alpha_beta_d3_b16,alpha_beta,seed1_late_t57,1,normal,3,1→63,754.0,0.028913417016156018,False,218,16,3
alpha_beta_d3_b16,alpha_beta,seed1_late_t57,1,normal,4,1→63,754.0,0.028449000092223287,False,218,16,3
alpha_beta_d3_b16,alpha_beta,seed1_caution_t48,1,caution,0,63→19,296.5,0.01483729190658778,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed1_caution_t48,1,caution,1,63→19,296.5,0.01476908300537616,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed1_caution_t48,1,caution,2,63→19,296.5,0.014790334040299058,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed1_caution_t48,1,caution,3,63→19,296.5,0.014734082971699536,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed1_caution_t48,1,caution,4,63→19,296.5,0.014753749943338335,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed1_danger_t58,1,danger,0,63→0,146.5,0.009285207954235375,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed1_danger_t58,1,danger,1,63→0,146.5,0.009302499936893582,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed1_danger_t58,1,danger,2,63→0,146.5,0.009381791111081839,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed1_danger_t58,1,danger,3,63→0,146.5,0.009354749927297235,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed1_danger_t58,1,danger,4,63→0,146.5,0.009391875006258488,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed1_critical_t63,1,critical,0,63→63,999997.0,0.0017584580928087234,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed1_critical_t63,1,critical,1,63→63,999997.0,0.0017198750283569098,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed1_critical_t63,1,critical,2,63→63,999997.0,0.0017242080066353083,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed1_critical_t63,1,critical,3,63→63,999997.0,0.00173520902171731,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed1_critical_t63,1,critical,4,63→63,999997.0,0.0017215409316122532,False,21,3,3
alpha_beta_d4_b8,alpha_beta,seed0_early_t0,0,normal,0,0→35,-906.5,0.05136154196225107,False,563,8,4
alpha_beta_d4_b8,alpha_beta,seed0_early_t0,0,normal,1,0→35,-906.5,0.05211487493943423,False,563,8,4
alpha_beta_d4_b8,alpha_beta,seed0_early_t0,0,normal,2,0→35,-906.5,0.05142895900644362,False,563,8,4
alpha_beta_d4_b8,alpha_beta,seed0_early_t0,0,normal,3,0→35,-906.5,0.05074958398472518,False,563,8,4
alpha_beta_d4_b8,alpha_beta,seed0_early_t0,0,normal,4,0→35,-906.5,0.05090620799455792,False,563,8,4
alpha_beta_d4_b8,alpha_beta,seed0_middle_t39,0,normal,0,55→63,-556.5,0.022798333084210753,False,242,8,4
alpha_beta_d4_b8,alpha_beta,seed0_middle_t39,0,normal,1,55→63,-556.5,0.022934416076168418,False,242,8,4
alpha_beta_d4_b8,alpha_beta,seed0_middle_t39,0,normal,2,55→63,-556.5,0.02262937498744577,False,242,8,4
alpha_beta_d4_b8,alpha_beta,seed0_middle_t39,0,normal,3,55→63,-556.5,0.022176875034347177,False,242,8,4
alpha_beta_d4_b8,alpha_beta,seed0_middle_t39,0,normal,4,55→63,-556.5,0.022059249924495816,False,242,8,4
alpha_beta_d4_b8,alpha_beta,seed0_late_t69,0,normal,0,1→63,-146.5,0.023066458059474826,False,161,8,4
alpha_beta_d4_b8,alpha_beta,seed0_late_t69,0,normal,1,1→63,-146.5,0.023105208994820714,False,161,8,4
alpha_beta_d4_b8,alpha_beta,seed0_late_t69,0,normal,2,1→63,-146.5,0.022824459010735154,False,161,8,4
