position_id,seed,split,category,turn,depth,branch_limit,full_config_id,selective_config_id,full_complete,selective_complete,comparable,full_selected_edge,selective_selected_edge,move_agreement,score_agreement,full_score,selective_score,full_time_sec,selective_time_sec,selective_speedup,full_nodes,selective_nodes,selective_node_ratio,full_root_candidates,selective_root_candidates,full_root_completion_rate,selective_root_completion_rate,full_timed_out,selective_timed_out
seed1_middle_t120,1,tuning,middle,120,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,9→35,9→35,True,True,-644.0,-644.0,0.21954383398406208,0.03048625006340444,7.2014050113563,2889,405,0.14018691588785046,47,8,1.0,1.0,False,False
seed2_early_pruning_t10,2,validation,early_pruning,10,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,63→42,63→42,True,False,-1346.5,-1157.5,0.09582862490788102,0.04056045785546303,2.362612011170234,1022,501,0.49021526418786693,10,8,1.0,1.0,False,False
seed2_early_t0,2,validation,early,0,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,False,True,False,63→63,0→35,,,-388.0,-789.0,1.000040375161916,0.06312512513250113,15.8421923610101,12664,804,0.0634870499052432,2252,8,0.14209591474245115,1.0,True,False
seed2_few_legal_t64,2,validation,few_legal,64,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,20→2,20→2,True,False,-1326.5,-1303.0,0.13005500007420778,0.03688225010409951,3.526221955198769,1145,314,0.274235807860262,6,6,1.0,1.0,False,False
seed2_late_t60,2,validation,late,60,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,63→42,63→42,True,True,-1326.5,-1326.5,0.08948550000786781,0.04006641684100032,2.2334290676149635,951,487,0.5120925341745531,10,8,1.0,1.0,False,False
seed2_middle_t32,2,validation,middle,32,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,55→63,55→63,True,True,-248.0,-248.0,0.09597483300603926,0.029570040991529822,3.2456780507517973,1125,337,0.2995555555555556,32,8,1.0,1.0,False,False
seed0_early_pruning_t17,0,tuning,early_pruning,17,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,28→42,28→42,True,True,-369.5,-369.5,0.3129662498831749,0.11749258288182318,2.6637106973634563,3981,1480,0.37176588796784726,37,12,1.0,1.0,False,False
seed0_early_t0,0,tuning,early,0,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,False,True,False,63→63,1→35,,,-399.5,-429.5,1.0000362498685718,0.06981883407570422,14.323302058929219,12521,760,0.06069802731411229,2248,12,0.12677935943060498,1.0,True,False
seed0_few_legal_t1,0,tuning,few_legal,1,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,35→63,35→63,True,True,-419.5,-419.5,0.061022625071927905,0.05352812493219972,1.1400105112820773,726,635,0.8746556473829201,8,8,1.0,1.0,False,False
seed0_late_t49,0,tuning,late,49,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,11→46,11→46,True,True,-308.0,-308.0,0.3960110410116613,0.167541041970253,2.363665859747806,5212,2250,0.43169608595548736,32,12,1.0,1.0,False,False
seed0_middle_t27,0,tuning,middle,27,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,63→28,63→28,True,True,-308.0,-308.0,0.10661279107443988,0.07199904206208885,1.4807529103304131,1099,734,0.6678798908098271,9,9,1.0,1.0,False,False
seed1_early_pruning_t75,1,tuning,early_pruning,75,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,True,True,True,2→61,2→61,True,True,-664.0,-664.0,0.31302637490443885,0.09820116707123816,3.187603408800222,3725,1209,0.32456375838926177,37,12,1.0,1.0,False,False
seed1_early_t0,1,tuning,early,0,4,12,full_alpha_beta_d4,selective_alpha_beta_d4_b12,False,True,False,63→63,4→35,,,-488.5,-528.5,1.0000333751086146,0.07761708414182067,12.884191491674306,14191,925,0.06518215770558805,2284,12,0.1786339754816112,1.0,True,False
