dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
350,0,れ,6,4,0,0,0.000000
350,0,ろ,2,6,0,0,0.000000
350,0,わ,3,1,0,0,0.000000
350,0,ん,0,49,0,0,0.000000
400,0,あ,19,14,0,0,0.000000
400,0,い,12,34,0,0,0.000000
400,0,う,4,45,0,0,0.000000
400,0,え,10,4,0,0,0.000000
400,0,お,9,1,0,0,0.000000
400,0,か,12,5,0,0,0.000000
400,0,が,6,1,0,0,0.000000
400,0,き,7,15,0,1,0.000000
400,0,ぎ,3,2,0,0,0.000000
400,0,く,5,35,0,2,0.000000
400,0,ぐ,0,4,0,0,0.000000
400,0,け,6,3,0,0,0.000000
400,0,げ,3,2,0,0,0.000000
400,0,こ,19,5,0,0,0.000000
400,0,ご,1,3,0,0,0.000000
400,0,さ,13,2,0,0,0.000000
400,0,ざ,3,1,0,0,0.000000
400,0,し,28,10,0,0,0.000000
400,0,じ,14,4,0,0,0.000000
400,0,す,14,6,0,0,0.000000
400,0,ず,1,1,0,0,0.000000
400,0,せ,14,2,0,0,0.000000
400,0,ぜ,1,0,0,0,0.000000
400,0,そ,7,1,0,0,0.000000
400,0,ぞ,1,0,0,0,0.000000
400,0,た,6,4,0,0,0.000000
400,0,だ,4,0,0,0,0.000000
400,0,ち,10,8,0,0,0.000000
400,0,つ,1,12,0,0,0.000000
400,0,て,5,7,0,0,0.000000
400,0,で,5,0,0,0,0.000000
400,0,と,13,17,0,0,0.000000
400,0,ど,3,6,0,0,0.000000
400,0,な,4,2,0,0,0.000000
400,0,に,10,1,0,0,0.000000
400,0,ぬ,1,0,0,0,0.000000
400,0,ね,1,2,0,0,0.000000
400,0,の,3,0,0,0,0.000000
400,0,は,5,1,0,0,0.000000
400,0,ば,3,2,0,0,0.000000
400,0,ぱ,5,0,0,0,0.000000
400,0,ひ,10,1,0,0,0.000000
400,0,び,1,1,0,0,0.000000
400,0,ぴ,0,2,0,0,0.000000
400,0,ふ,9,2,0,0,0.000000
400,0,ぶ,3,2,0,0,0.000000
400,0,ぷ,2,2,0,0,0.000000
400,0,へ,3,0,0,0,0.000000
400,0,べ,3,0,0,0,0.000000
400,0,ぺ,3,0,0,0,0.000000
400,0,ほ,6,1,0,0,0.000000
400,0,ぼ,2,2,0,0,0.000000
400,0,ま,7,4,0,0,0.000000
400,0,み,10,8,0,0,0.000000
400,0,む,2,10,0,0,0.000000
400,0,め,11,1,0,0,0.000000
400,0,も,4,1,0,0,0.000000
400,0,や,0,7,0,0,0.000000
400,0,ゆ,5,4,0,0,0.000000
400,0,よ,8,2,0,0,0.000000
400,0,ら,0,6,0,0,0.000000
400,0,り,8,11,0,0,0.000000
400,0,る,0,8,0,0,0.000000
400,0,れ,6,4,0,0,0.000000
400,0,ろ,2,6,0,0,0.000000
400,0,わ,4,1,0,0,0.000000
400,0,ん,0,52,0,0,0.000000
