match_id,turn,risk_level,beam_won,same_edge,reference_rank,reference_risk_level,reference_attack_score,reference_survival_score,reference_survival_weight,reference_total_score,reference_opponent_legal_word_count,reference_opponent_safe_word_count,reference_opponent_active_edge_type_count,reference_opponent_safe_edge_type_count,reference_opponent_destination_count,reference_opponent_safe_destination_count,reference_own_safe_word_count,reference_own_safe_edge_type_count,reference_own_safe_destination_count,beam_risk_level,beam_attack_score,beam_survival_score,beam_survival_weight,beam_total_score,beam_opponent_legal_word_count,beam_opponent_safe_word_count,beam_opponent_active_edge_type_count,beam_opponent_safe_edge_type_count,beam_opponent_destination_count,beam_opponent_safe_destination_count,beam_own_safe_word_count,beam_own_safe_edge_type_count,beam_own_safe_destination_count
D20000_seed1_beam_negamax_vs_alpha_beta,39,normal,False,False,5,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,120,34,34,normal,-3969.0,0.0,0.0,-3969.0,190,168,41,40,41,40,120,34,34
D20000_seed1_beam_negamax_vs_alpha_beta,41,normal,False,False,5,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,119,33,33,normal,-3236.5,0.0,0.0,-3236.5,158,131,37,36,37,36,119,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,43,normal,False,False,5,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,118,33,33,normal,-3216.5,0.0,0.0,-3216.5,157,130,37,36,37,36,118,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,45,normal,False,False,5,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,117,33,33,normal,-3196.5,0.0,0.0,-3196.5,156,129,37,36,37,36,117,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,47,normal,False,False,2,normal,-5089.0,0.0,0.0,-5089.0,251,209,52,51,52,51,18,9,9,normal,-4313.0,0.0,0.0,-4313.0,200,186,47,46,47,46,18,9,9
D20000_seed1_beam_negamax_vs_alpha_beta,49,normal,False,True,2,normal,-1017.5,0.0,0.0,-1017.5,45,40,18,17,18,17,89,32,32,normal,-1017.5,0.0,0.0,-1017.5,45,40,18,17,18,17,89,32,32
D20000_seed1_beam_negamax_vs_alpha_beta,51,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,116,32,32,normal,-4283.0,0.0,0.0,-4283.0,199,185,46,45,46,45,116,32,32
D20000_seed1_beam_negamax_vs_alpha_beta,53,normal,False,False,2,normal,-1550.0,0.0,0.0,-1550.0,80,60,17,16,17,16,94,23,23,normal,-4263.0,0.0,0.0,-4263.0,198,184,46,45,46,45,94,23,23
D20000_seed1_beam_negamax_vs_alpha_beta,55,normal,False,False,2,normal,-1550.0,0.0,0.0,-1550.0,80,60,17,16,17,16,93,23,23,normal,-4233.0,0.0,0.0,-4233.0,197,183,45,44,45,44,93,23,23
D20000_seed1_beam_negamax_vs_alpha_beta,57,normal,False,False,2,normal,-1550.0,0.0,0.0,-1550.0,80,60,17,16,17,16,120,36,36,normal,-2996.5,0.0,0.0,-2996.5,146,119,37,36,37,36,120,36,36
D20000_seed1_beam_negamax_vs_alpha_beta,59,normal,False,False,1,normal,-2857.5,0.0,0.0,-2857.5,140,115,33,32,33,32,60,16,16,normal,-4213.0,0.0,0.0,-4213.0,196,182,45,44,45,44,60,16,16
D20000_seed1_beam_negamax_vs_alpha_beta,61,normal,False,False,2,normal,-1530.0,0.0,0.0,-1530.0,79,59,17,16,17,16,118,36,36,normal,-2956.5,0.0,0.0,-2956.5,144,117,37,36,37,36,118,36,36
D20000_seed1_beam_negamax_vs_alpha_beta,63,normal,False,False,1,normal,-2857.5,0.0,0.0,-2857.5,140,115,33,32,33,32,59,16,16,normal,-4193.0,0.0,0.0,-4193.0,195,181,45,44,45,44,59,16,16
D20000_seed1_beam_negamax_vs_alpha_beta,65,normal,False,False,2,normal,-1510.0,0.0,0.0,-1510.0,78,58,17,16,17,16,116,36,36,normal,-2906.5,0.0,0.0,-2906.5,142,115,36,35,36,35,116,36,36
D20000_seed1_beam_negamax_vs_alpha_beta,67,normal,False,True,1,normal,-2857.5,0.0,0.0,-2857.5,140,115,33,32,33,32,58,16,16,normal,-2857.5,0.0,0.0,-2857.5,140,115,33,32,33,32,58,16,16
D20000_seed1_beam_negamax_vs_alpha_beta,69,normal,False,True,4,normal,-2827.5,0.0,0.0,-2827.5,139,114,32,31,32,31,139,33,33,normal,-2827.5,0.0,0.0,-2827.5,139,114,32,31,32,31,139,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,71,normal,False,False,6,normal,-2797.5,0.0,0.0,-2797.5,138,113,31,30,31,30,157,36,36,normal,-2876.5,0.0,0.0,-2876.5,141,114,35,34,35,34,157,36,36
D20000_seed1_beam_negamax_vs_alpha_beta,73,normal,False,True,4,normal,-2797.5,0.0,0.0,-2797.5,138,113,31,30,31,30,138,33,33,normal,-2797.5,0.0,0.0,-2797.5,138,113,31,30,31,30,138,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,75,normal,False,False,5,normal,-2767.5,0.0,0.0,-2767.5,137,112,30,29,30,29,165,38,38,normal,-2846.5,0.0,0.0,-2846.5,140,113,34,33,34,33,165,38,38
D20000_seed1_beam_negamax_vs_alpha_beta,77,normal,False,False,5,normal,-2767.5,0.0,0.0,-2767.5,137,112,30,29,30,29,164,37,37,normal,-997.5,0.0,0.0,-997.5,44,39,18,17,18,17,164,37,37
D20000_seed1_beam_negamax_vs_alpha_beta,79,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,112,29,29,normal,-4173.0,0.0,0.0,-4173.0,194,180,45,44,45,44,112,29,29
D20000_seed1_beam_negamax_vs_alpha_beta,81,normal,False,True,8,normal,-4057.0,0.0,0.0,-4057.0,209,163,37,36,37,36,112,33,33,normal,-4057.0,0.0,0.0,-4057.0,209,163,37,36,37,36,112,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,83,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,111,29,29,normal,-4143.0,0.0,0.0,-4143.0,193,179,44,43,44,43,111,29,29
D20000_seed1_beam_negamax_vs_alpha_beta,85,normal,False,False,3,normal,-1480.0,0.0,0.0,-1480.0,77,57,16,15,16,15,125,39,39,normal,-2796.5,0.0,0.0,-2796.5,138,111,33,32,33,32,125,39,39
D20000_seed1_beam_negamax_vs_alpha_beta,87,normal,False,True,5,normal,-3002.5,0.0,0.0,-3002.5,139,124,39,38,39,38,178,43,43,normal,-3002.5,0.0,0.0,-3002.5,139,124,39,38,39,38,178,43,43
D20000_seed1_beam_negamax_vs_alpha_beta,89,normal,False,False,1,normal,-3279.0,0.0,0.0,-3279.0,159,137,34,33,34,33,57,15,15,normal,-4103.0,0.0,0.0,-4103.0,191,177,44,43,44,43,57,15,15
D20000_seed1_beam_negamax_vs_alpha_beta,91,normal,False,False,3,normal,-1460.0,0.0,0.0,-1460.0,76,56,16,15,16,15,123,38,38,normal,-977.5,0.0,0.0,-977.5,43,38,18,17,18,17,123,38,38
D20000_seed1_beam_negamax_vs_alpha_beta,93,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,110,29,29,normal,-4083.0,0.0,0.0,-4083.0,190,176,44,43,44,43,110,29,29
D20000_seed1_beam_negamax_vs_alpha_beta,95,normal,False,False,3,normal,-1460.0,0.0,0.0,-1460.0,76,56,16,15,16,15,122,38,38,normal,-947.5,0.0,0.0,-947.5,42,37,17,16,17,16,122,38,38
D20000_seed1_beam_negamax_vs_alpha_beta,97,normal,False,True,5,normal,-2932.5,0.0,0.0,-2932.5,136,121,38,37,38,37,175,43,43,normal,-2932.5,0.0,0.0,-2932.5,136,121,38,37,38,37,175,43,43
D20000_seed1_beam_negamax_vs_alpha_beta,99,normal,False,False,1,normal,-3279.0,0.0,0.0,-3279.0,159,137,34,33,34,33,56,15,15,normal,-4043.0,0.0,0.0,-4043.0,188,174,44,43,44,43,56,15,15
D20000_seed1_beam_negamax_vs_alpha_beta,101,normal,False,False,5,normal,-2707.5,0.0,0.0,-2707.5,134,109,30,29,30,29,120,36,36,normal,-2604.0,0.0,0.0,-2604.0,123,111,28,27,28,27,120,36,36
D20000_seed1_beam_negamax_vs_alpha_beta,103,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,109,29,29,normal,-4013.0,0.0,0.0,-4013.0,187,173,43,42,43,42,109,29,29
D20000_seed1_beam_negamax_vs_alpha_beta,105,normal,False,True,4,normal,-2687.5,0.0,0.0,-2687.5,133,108,30,29,30,29,137,33,33,normal,-2687.5,0.0,0.0,-2687.5,133,108,30,29,30,29,137,33,33
D20000_seed1_beam_negamax_vs_alpha_beta,107,normal,False,True,6,normal,-3249.0,0.0,0.0,-3249.0,158,136,33,32,33,32,172,42,42,normal,-3249.0,0.0,0.0,-3249.0,158,136,33,32,33,32,172,42,42
D20000_seed1_beam_negamax_vs_alpha_beta,109,normal,False,False,6,normal,-2667.5,0.0,0.0,-2667.5,132,107,30,29,30,29,113,35,35,normal,-2776.5,0.0,0.0,-2776.5,137,110,33,32,33,32,113,35,35
