match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_alpha_beta_vs_graph_control_rep0,2,1000,80-100%,0.999,False,2,1000000010.3216455,500000005.16082275,1,2,False,False,False,False,both,,,0.00041199999395757914,0.00020724989008158445,1.583306584507227e-05,2.6957946829497814e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,4,1000,80-100%,0.997,False,4,2.4360627910128088,0.9706227388254353,1,4,False,False,True,True,local_only,,,0.001032667001709342,0.00042616494465619326,5.1415059715509415e-05,8.166709449142218e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,6,1000,80-100%,0.995,False,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.00024275004398077726,0.00010808301158249378,1.3042008504271507e-05,2.020795363932848e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,8,1000,80-100%,0.993,False,7,1000000011.2731197,349927109.9622923,1,7,False,False,False,False,both,,,0.0016067910473793745,0.0007398758316412568,8.250097744166851e-05,0.00012425193563103676
D1000_seed0_alpha_beta_vs_graph_control_rep0,10,1000,80-100%,0.991,False,12,1000000011.2536076,276385402.1633106,1,12,False,False,False,False,both,True,False,0.002704041893593967,0.0012441650032997131,0.0001352090621367097,0.0002233728300780058
D1000_seed0_alpha_beta_vs_graph_control_rep0,12,1000,80-100%,0.989,False,2,0.26232781012623896,0.13116390506311948,1,2,False,False,True,True,local_only,,,0.0004983339458703995,0.00020549888722598553,2.6832916773855686e-05,3.875000402331352e-05
D1000_seed0_alpha_beta_vs_graph_control_rep0,14,1000,80-100%,0.987,False,7,1.0612040652319141,0.34935371020150213,1,7,False,False,True,True,local_only,,,0.0016669169999659061,0.0007209979230538011,8.958089165389538e-05,0.00014279200695455074
D1000_seed0_alpha_beta_vs_graph_control_rep0,16,1000,80-100%,0.985,False,4,1000000010.91747,433012706.47207785,1,4,False,False,False,False,both,,,0.0008396250195801258,0.00040541705675423145,3.812392242252827e-05,6.649980787187815e-05
D1000_seed0_pvs_vs_graph_control_rep0,2,1000,80-100%,0.999,False,2,1000000010.3216455,500000005.16082275,1,2,False,False,False,False,both,,,0.0004183750133961439,0.0002175419358536601,1.579208765178919e-05,2.541614230722189e-05
D1000_seed0_pvs_vs_graph_control_rep0,4,1000,80-100%,0.997,False,4,2.4360627910128088,0.9706227388254353,1,4,False,False,True,True,local_only,,,0.0009817919926717877,0.00042204209603369236,5.162495654076338e-05,7.900106720626354e-05
D1000_seed0_pvs_vs_graph_control_rep0,6,1000,80-100%,0.995,False,1,0.0,0.0,1,1,True,False,True,True,neither,True,True,0.00024108297657221556,0.00010412500705569983,1.2874952517449856e-05,2.0417035557329655e-05
D1000_seed0_pvs_vs_graph_control_rep0,8,1000,80-100%,0.993,False,7,1000000011.2731197,349927109.9622923,1,7,False,False,False,False,both,,,0.0015584999928250909,0.0007253768853843212,7.633271161466837e-05,0.00012179289478808641
D1000_seed0_pvs_vs_graph_control_rep0,10,1000,80-100%,0.991,False,12,1000000011.2536076,276385402.1633106,1,12,False,False,False,False,both,,,0.0026994170621037483,0.0012340020621195436,0.00013566692359745502,0.00022591918241232634
D1000_seed0_pvs_vs_graph_control_rep0,12,1000,80-100%,0.989,False,2,0.26232781012623896,0.13116390506311948,1,2,False,False,True,True,local_only,,,0.0004813750274479389,0.00020174996461719275,2.5082961656153202e-05,3.733194898813963e-05
D1000_seed0_pvs_vs_graph_control_rep0,14,1000,80-100%,0.987,False,7,1.0612040652319141,0.34935371020150213,1,7,False,False,True,True,local_only,,,0.0016439580358564854,0.0007062092190608382,8.733209688216448e-05,0.00014395907055586576
D1000_seed0_pvs_vs_graph_control_rep0,16,1000,80-100%,0.985,False,4,1000000010.91747,433012706.47207785,1,4,False,False,False,False,both,,,0.0008371670264750719,0.0004027499817311764,3.820890560746193e-05,6.737385410815477e-05
D1000_seed0_beam_negamax_vs_graph_control_rep0,2,1000,80-100%,0.999,False,1,0.0,0.0,1,1,True,False,True,True,neither,True,True,0.00025133404415100813,0.00010508403647691011,1.5582889318466187e-05,2.037500962615013e-05
D1000_seed0_beam_negamax_vs_graph_control_rep0,4,1000,80-100%,0.997,False,6,1.2135701598636572,0.3872514494813354,1,6,False,False,True,True,local_only,,,0.0015367079759016633,0.0006577929016202688,8.149805944412947e-05,0.00011995900422334671
D1000_seed0_beam_negamax_vs_graph_control_rep0,6,1000,80-100%,0.995,False,20,1000000013.7889228,217944949.5627429,1,20,False,False,False,False,both,,,0.004453415982425213,0.002028623945079744,0.00023037393111735582,0.00036508485209196806
D1000_seed0_beam_negamax_vs_graph_control_rep0,8,1000,80-100%,0.993,False,7,1.0975962894780036,0.3378013065232379,1,7,False,False,True,True,local_only,,,0.001726499991491437,0.0007455840241163969,9.158509783446789e-05,0.0001413729041814804
D1000_seed0_graph_control_vs_random_rep0,1,1000,80-100%,1.0,True,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.1320736660854891,0.0533528815722093,0.006213592831045389,0.01025542605202645
D1000_seed0_graph_control_vs_random_rep0,3,1000,80-100%,0.998,True,8,0.7165507867645147,0.2858721793635851,1,8,False,False,True,True,local_only,,,0.002169625018723309,0.0008450841996818781,0.0001044170930981636,0.00015716697089374065
D1000_seed0_graph_control_vs_random_rep0,5,1000,80-100%,0.996,True,18,1000000012.4994168,229061426.11527455,1,18,False,False,False,False,both,True,False,0.004240207956172526,0.0019047469832003117,0.0002046659355983138,0.0003397897817194462
D1000_seed0_graph_control_vs_random_rep0,7,1000,80-100%,0.994,True,9,1000000011.4148431,314269683.9650701,1,9,False,False,False,False,both,,,0.002081666956655681,0.0009866238106042147,9.987608063966036e-05,0.0001495399046689272
D1000_seed0_graph_control_vs_random_rep0,9,1000,80-100%,0.992,True,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.00012741703540086746,0.00010554201435297728,9.998911991715431e-07,2.666027285158634e-06
D1000_seed0_graph_control_vs_random_rep1,1,1000,80-100%,1.0,True,640,1000000015.1291957,265896004.33097914,1,92,False,False,False,False,both,,,0.12219766608905047,0.050588043057359755,0.005987703567370772,0.009227078640833497
D1000_seed0_graph_control_vs_random_rep1,3,1000,80-100%,0.998,True,8,0.7165507867645147,0.2858721793635851,1,8,False,False,True,True,local_only,,,0.0018691250588744879,0.0007930001011118293,9.412283543497324e-05,0.00014454196207225323
D1000_seed0_graph_control_vs_random_rep1,5,1000,80-100%,0.996,True,24,1000000012.4994168,199826315.62316197,1,24,False,False,False,False,both,,,0.0051965839229524136,0.002391623333096504,0.00026041571982204914,0.0004159194650128484
D1000_seed0_graph_control_vs_random_rep1,7,1000,80-100%,0.994,True,1,0.0,0.0,1,1,True,False,True,True,neither,True,True,0.0002298339968547225,0.00010062509682029486,1.2375065125524998e-05,1.8124934285879135e-05
D1000_seed0_graph_control_vs_random_rep1,9,1000,80-100%,0.992,True,6,1.2267777855379087,0.38949381623904683,1,6,False,False,True,True,local_only,,,0.0013318749843165278,0.0005942909047007561,6.912392564117908e-05,0.00010683282744139433
D1000_seed0_graph_control_vs_random_rep1,11,1000,80-100%,0.99,True,20,1000000013.8303381,217944949.57869697,1,20,False,False,False,False,both,,,0.00415841699577868,0.0019394569098949432,0.00021637591999024153,0.00034612417221069336
D1000_seed0_graph_control_vs_random_rep1,13,1000,80-100%,0.988,True,12,2000000000.0,408248290.463863,1,12,False,False,False,False,both,,,0.0024738339707255363,0.0012252068845555186,0.00011549890041351318,0.00018650013953447342
