exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
,pvs,0.11113554312333722,baseline_pvs,0,False,ended_with_n,D5000_seed2_baseline_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,pvs,0.2541601279850251,improved_fixed_pvs,0,2,57,second
,alpha_beta,0.17004120819857,improved_adaptive_alpha_beta,0,False,ended_with_n,D5000_seed2_improved_adaptive_alpha_beta_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,beam_negamax,0.14029481474965536,improved_adaptive_beam_negamax,0,2,54,first
,alpha_beta,0.14840306690894067,improved_adaptive_alpha_beta,0,False,ended_with_n,D5000_seed2_improved_adaptive_alpha_beta_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,pvs,0.2775562331007677,improved_adaptive_pvs,1,2,65,second
,alpha_beta,0.13217498491179536,improved_adaptive_alpha_beta,0,False,ended_with_n,D5000_seed2_improved_adaptive_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,alpha_beta,0.1245579857568373,improved_fixed_alpha_beta,0,2,65,second
,beam_negamax,0.1073025679991891,improved_adaptive_beam_negamax,0,False,ended_with_n,D5000_seed2_improved_adaptive_beam_negamax_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,alpha_beta,0.11122935827200611,improved_adaptive_alpha_beta,0,2,60,first
,beam_negamax,0.09474550080062313,improved_adaptive_beam_negamax,0,False,ended_with_n,D5000_seed2_improved_adaptive_beam_negamax_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,pvs,0.2867620560636913,improved_adaptive_pvs,1,2,110,first
,beam_negamax,0.10409300229124104,improved_adaptive_beam_negamax,0,False,ended_with_n,D5000_seed2_improved_adaptive_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,beam_negamax,0.10903694746749741,improved_fixed_beam_negamax,0,2,71,second
,pvs,0.25661777752578596,improved_adaptive_pvs,0,False,ended_with_n,D5000_seed2_improved_adaptive_pvs_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,alpha_beta,0.1660549602714706,improved_adaptive_alpha_beta,0,2,88,first
,pvs,0.3493547314687425,improved_adaptive_pvs,1,False,ended_with_n,D5000_seed2_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,beam_negamax,0.10848140509592162,improved_adaptive_beam_negamax,0,2,72,first
,pvs,0.23867530747445237,improved_adaptive_pvs,1,False,ended_with_n,D5000_seed2_improved_adaptive_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,pvs,0.3788096890867954,improved_fixed_pvs,3,2,57,second
,alpha_beta,0.10688210484769309,improved_fixed_alpha_beta,0,False,ended_with_n,D5000_seed2_improved_fixed_alpha_beta_vs_baseline_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,alpha_beta,0.09888597006647615,baseline_alpha_beta,0,2,65,second
,alpha_beta,0.09857338893396611,improved_fixed_alpha_beta,0,False,ended_with_n,D5000_seed2_improved_fixed_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,alpha_beta,0.09275408197572688,improved_adaptive_alpha_beta,0,2,65,second
,beam_negamax,0.1299839687740637,improved_fixed_beam_negamax,0,False,ended_with_n,D5000_seed2_improved_fixed_beam_negamax_vs_baseline_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,beam_negamax,0.1328511417244694,baseline_beam_negamax,0,2,71,second
,beam_negamax,0.11123474076157436,improved_fixed_beam_negamax,0,False,ended_with_n,D5000_seed2_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,beam_negamax,0.11317917848937213,improved_adaptive_beam_negamax,0,2,71,second
,pvs,0.36979706896818243,improved_fixed_pvs,5,False,ended_with_n,D5000_seed2_improved_fixed_pvs_vs_baseline_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,pvs,0.13461721482963185,baseline_pvs,0,2,128,first
,pvs,0.5368590482103173,improved_fixed_pvs,6,False,ended_with_n,D5000_seed2_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,pvs,0.3183226036658931,improved_adaptive_pvs,2,2,63,second
