match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_graph_control_vs_random_rep0,3,1000,80-100%,0.998,True,8,0.7165507867645147,0.2858721793635851,1,8,False,0.7165507867645147,False,True,True,local_only,False,False,0.0022799590369686484,0.0008728320244699717,0.00010337599087506533,0.00019612570758908987
D1000_seed0_graph_control_vs_random_rep0,5,1000,80-100%,0.996,True,18,2.534254039640034,0.5835821953888517,1,17,False,1000000012.4994168,False,False,False,both,True,False,0.004261541063897312,0.0019298738334327936,0.00021021091379225254,0.00032383413054049015
D1000_seed0_graph_control_vs_random_rep0,7,1000,80-100%,0.994,True,9,0.9609998458409503,0.29867417989388156,1,8,False,1000000011.4148431,False,False,False,both,True,True,0.0020859589567407966,0.0009884570026770234,9.870901703834534e-05,0.00014595803804695606
D1000_seed0_graph_control_vs_random_rep0,9,1000,80-100%,0.992,True,1,0.0,0.0,0,0,True,0.0,False,True,True,neither,True,True,0.0001312090316787362,0.00010958302300423384,1.208973117172718e-06,3.3329706639051437e-06
D1000_seed0_graph_control_vs_random_rep1,1,1000,80-100%,1.0,True,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.12990016606636345,0.05322668491862714,0.006410011439584196,0.009857585420832038
D1000_seed0_graph_control_vs_random_rep1,3,1000,80-100%,0.998,True,8,0.7165507867645147,0.2858721793635851,1,8,False,0.7165507867645147,False,True,True,local_only,False,False,0.0020989999175071716,0.0008345398819074035,0.00010200007818639278,0.00015241594519466162
D1000_seed0_graph_control_vs_random_rep1,5,1000,80-100%,0.996,True,24,2.534254039640034,0.6007381850448352,1,23,False,1000000012.4994168,False,False,False,both,False,False,0.005490291048772633,0.0024790429743006825,0.00029762915801256895,0.00043370749335736036
D1000_seed0_graph_control_vs_random_rep1,7,1000,80-100%,0.994,True,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.00024262501392513514,0.0001052080187946558,1.3415934517979622e-05,1.937500201165676e-05
D1000_seed0_graph_control_vs_random_rep1,9,1000,80-100%,0.992,True,6,1.2267777855379087,0.38949381623904683,1,6,False,1.2267777855379087,False,True,True,local_only,False,True,0.001398916938342154,0.0006155431037768722,7.145712152123451e-05,0.00011037488002330065
D1000_seed0_graph_control_vs_random_rep1,11,1000,80-100%,0.99,True,20,3.7487330497193607,0.748932518374489,1,19,False,1000000013.8303381,False,False,False,both,False,False,0.004407875007018447,0.00203445996157825,0.00022379099391400814,0.00036016793455928564
D1000_seed0_graph_control_vs_random_rep1,13,1000,80-100%,0.988,True,12,0.8452841840635159,0.2950636235486032,1,10,False,2000000000.0,False,False,False,both,True,True,0.0027286249678581953,0.0013035840820521116,0.00012171093840152025,0.0002302920911461115
D1000_seed0_graph_control_vs_greedy_rep0,1,1000,80-100%,1.0,True,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.1296303749550134,0.05325342726428062,0.007012058515101671,0.009790286072529852
D1000_seed0_graph_control_vs_greedy_rep0,3,1000,80-100%,0.998,True,8,0.7165507867645147,0.2858721793635851,1,8,False,0.7165507867645147,False,True,True,local_only,False,False,0.002102457918226719,0.0008572089718654752,0.00010124803520739079,0.000152332941070199
D1000_seed0_graph_control_vs_greedy_rep0,5,1000,80-100%,0.996,True,6,1.222006539109124,0.3873141311044797,1,6,False,1.222006539109124,False,True,True,local_only,False,True,0.0015105829806998372,0.0006515418644994497,7.279310375452042e-05,0.00011583406012505293
D1000_seed0_graph_control_vs_greedy_rep0,7,1000,80-100%,0.994,True,11,2.098122610632238,0.5745360744667861,1,10,False,1000000012.5001111,False,False,False,both,True,False,0.002531000063754618,0.001158500206656754,0.00012295518536120653,0.00019554339814931154
D1000_seed0_graph_control_vs_greedy_rep0,9,1000,80-100%,0.992,True,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.00024620804470032454,0.0001088329590857029,1.295795664191246e-05,1.9042054191231728e-05
D1000_seed0_graph_control_vs_greedy_rep0,11,1000,80-100%,0.99,True,5,1.2595836271383405,0.5348456873154527,1,3,False,2000000000.0,False,False,False,both,True,True,0.0009669159771874547,0.0005186658818274736,3.808282781392336e-05,6.26252731308341e-05
D1000_seed0_graph_control_vs_monte_carlo_rep0,1,1000,80-100%,1.0,False,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.13188824988901615,0.054349050275050104,0.006584696006029844,0.010048054275102913
D1000_seed0_graph_control_vs_monte_carlo_rep0,3,1000,80-100%,0.998,False,8,0.7165507867645147,0.2858721793635851,1,8,False,0.7165507867645147,False,True,True,local_only,False,False,0.002159333089366555,0.0008452908368781209,0.00010341894812881947,0.0001550830202177167
D1000_seed0_graph_control_vs_monte_carlo_rep0,5,1000,80-100%,0.996,False,24,2.534254039640034,0.6007381850448352,1,23,False,1000000012.4994168,False,False,False,both,False,False,0.005613040993921459,0.002520623034797609,0.0002753718290477991,0.0004492102889344096
D1000_seed0_graph_control_vs_monte_carlo_rep0,7,1000,80-100%,0.994,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.0002560419961810112,0.0001045420067384839,1.4542019926011562e-05,1.925008837133646e-05
D1000_seed0_graph_control_vs_monte_carlo_rep0,9,1000,80-100%,0.992,False,7,0.814912024595003,0.297911037751298,1,6,False,1000000011.2879467,False,False,False,both,False,True,0.001565542072057724,0.0007144592236727476,7.496005855500698e-05,0.00011291587725281715
D1000_seed0_graph_control_vs_monte_carlo_rep0,11,1000,80-100%,0.99,False,7,0.7505146824834856,0.29263303163449345,1,7,False,0.7505146824834856,False,True,True,local_only,True,False,0.001673292019404471,0.0007241659332066774,8.583324961364269e-05,0.00013233523350208998
D1000_seed0_graph_control_vs_monte_carlo_rep0,13,1000,80-100%,0.988,False,8,1.001346713812536,0.3374187105762641,1,7,False,1000000011.4621476,False,False,False,both,True,False,0.0018415000522509217,0.0008429588051512837,8.858495857566595e-05,0.0001306259073317051
D1000_seed0_graph_control_vs_monte_carlo_rep1,1,1000,80-100%,1.0,False,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.12407070794142783,0.05151958344504237,0.00616850086953491,0.009383655386045575
D1000_seed0_graph_control_vs_monte_carlo_rep1,3,1000,80-100%,0.998,False,12,1.2139655236317157,0.37752292525939474,1,11,False,1000000011.1792594,False,False,False,both,True,False,0.002719165990129113,0.001205165171995759,0.00012920773588120937,0.00020795699674636126
