agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta,0,,{},8,0.000817666994407773,0.00011799763888120651,late,3,alpha_beta_d6_b8,10,6,6,6,adaptive_disabled,False,6,0.003925125114619732,63,0.0026165437884628773,24,3,3.7080608308315277e-06,47,0,273,2.8999987989664078e-05,seed1_late_t236,fixed,216,0,0.0009286678396165371,0.00032216333784163,4,0,0.0,danger,3,1.0,2.5042099878191948e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.10756116639822721,0.014189415145665407,few_legal,2,alpha_beta_d6_b8,569,6,6,6,adaptive_disabled,False,6,0.5583550001028925,2,0.3948039507959038,1849,2,3.00002284348011e-06,2672,0,14811,0.00014779111370444298,seed1_few_legal_t121,fixed,12047,0,0.12362024188041687,0.03975876630283892,4,0,0.0,critical,2,1.0,2.1249987185001373e-05,-738.0,1,20→2,2,,tuning,20,False,121,True,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.1780468807555735,0.024058744311332703,early_pruning,2,alpha_beta_d6_b8,654,6,6,6,adaptive_disabled,False,6,1.000735708978027,8,0.7374883976299316,2333,29,1.237494871020317e-05,3311,0,17372,0.0005880419630557299,seed1_early_pruning_t75,fixed,13889,0,0.20494787488132715,0.05750626954250038,66,0,0.0,normal,29,0.25,0.00019275001250207424,-799.5,1,2→8,8,,tuning,2,True,75,False,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},12,0.2004462950862944,0.027865486685186625,early,11,alpha_beta_d6_b12,794,6,6,6,adaptive_disabled,False,6,1.0001255420502275,35,0.7043712567538023,2859,1686,0.00039412500336766243,3869,0,23853,9.116693399846554e-05,seed0_early_t0,fixed,19902,0,0.22042166092433035,0.06406320724636316,5000,0,0.0,normal,1686,0.9166666666666666,0.010784125188365579,-597.0,0,1→35,12,,tuning,1,True,0,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.08555334596894681,0.01049179257825017,middle,2,alpha_beta_d6_b12,338,6,6,6,adaptive_disabled,False,6,0.27250608312897384,63,0.15538388607092202,856,2,1.2082979083061218e-05,1356,0,9873,5.441601388156414e-05,seed0_middle_t27,fixed,8509,0,0.09677416458725929,0.020192283438518643,2,0,0.0,critical,2,1.0,8.925003930926323e-05,-797.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.2507380072493106,0.031074266880750656,late,12,alpha_beta_d6_b12,926,6,6,6,adaptive_disabled,False,6,0.6266167908906937,28,0.2872685275506228,1133,23,1.2750038877129555e-05,2867,0,27064,3.812368959188461e-05,seed0_late_t49,fixed,24170,0,0.28426724788732827,0.05481772474013269,78,0,0.0,normal,23,1.0,0.00021241698414087296,999995.0,0,11→28,12,,tuning,11,False,49,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.11022315756417811,0.020942318253219128,few_legal,2,alpha_beta_d6_b12,383,6,6,6,adaptive_disabled,False,6,0.7800557080190629,32,0.5771204305347055,2165,2,0.0001129580195993185,2768,0,12170,0.0008879590313881636,seed0_few_legal_t6,fixed,9370,0,0.13345963368192315,0.06819635187275708,2,0,0.0,critical,2,1.0,0.0002783748786896467,-619.0,0,35→32,2,,tuning,35,False,6,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.1485027309972793,0.02481420594267547,early_pruning,2,alpha_beta_d6_b12,573,6,6,6,adaptive_disabled,False,6,1.000059791142121,66,0.7584997527301311,2434,26,1.291697844862938e-05,3376,0,17860,3.241607919335365e-05,seed0_early_pruning_t17,fixed,14408,0,0.1765282319393009,0.06470809830352664,44,0,0.0,normal,26,0.16666666666666666,0.0002783751115202904,-807.5,0,28→66,12,,tuning,28,True,17,False,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.22854541591368616,0.03387408796697855,early,3,alpha_beta_d6_b12,786,6,6,6,adaptive_disabled,False,6,1.0007807090878487,35,0.6749079443980008,2333,1678,0.0005923330318182707,3317,0,22184,0.00012075109407305717,seed1_early_t0,fixed,18693,0,0.24992021662183106,0.058214714052155614,5000,0,0.0,normal,1678,0.25,0.017024749889969826,-758.5,1,13→35,12,,tuning,13,True,0,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.26578930555842817,0.03807227313518524,middle,8,alpha_beta_d6_b12,1207,6,6,6,adaptive_disabled,False,6,1.0000586670357734,20,0.6204789467155933,2801,37,2.429191954433918e-05,4318,0,32287,3.645801916718483e-05,seed1_middle_t120,fixed,27727,0,0.3081460031680763,0.07104500918649137,90,0,0.0,normal,37,0.6666666666666666,0.0003279580269008875,-648.5,1,9→20,12,,tuning,9,True,120,False,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.002608373761177063,0.0003543752245604992,late,3,alpha_beta_d6_b12,14,6,6,6,adaptive_disabled,False,6,0.015143125085160136,63,0.0109283362980932,35,3,5.58304600417614e-06,66,0,344,5.287514068186283e-05,seed1_late_t236,fixed,263,0,0.0029774566646665335,0.0011340409982949495,4,0,0.0,danger,3,1.0,4.483293741941452e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.19707094482146204,0.023977202363312244,few_legal,0,alpha_beta_d6_b12,877,6,6,6,adaptive_disabled,False,6,1.000169417122379,2,0.7167371162213385,3350,2,5.95790334045887e-06,4504,0,22801,0.00013666832819581032,seed1_few_legal_t121,fixed,18135,0,0.22347393003292382,0.05976549466140568,4,0,0.0,critical,2,0.0,5.024997517466545e-05,-1296.0,1,20→2,2,,tuning,20,True,121,True,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},12,0.14659681380726397,0.031592929968610406,early_pruning,1,alpha_beta_d6_b12,638,6,6,6,adaptive_disabled,False,6,1.000071584014222,63,0.7611254095099866,2321,29,1.3584038242697716e-05,3186,0,17459,3.8999831303954124e-05,seed1_early_pruning_t75,fixed,14107,0,0.18099163891747594,0.057658951729536057,66,0,0.0,normal,29,0.08333333333333333,0.0002429999876767397,-999996.0,1,2→63,12,,tuning,2,True,75,False,alpha_beta_d6_b12,True,True,,
alpha_beta,0,,{},16,0.2030420380178839,0.029749202774837613,early,8,alpha_beta_d6_b16,686,6,6,6,adaptive_disabled,False,6,1.0002164170145988,35,0.6950823112856597,2521,1686,0.00045420904643833637,3385,0,21624,0.00015358300879597664,seed0_early_t0,fixed,18144,0,0.21597792790271342,0.06855646870099008,5000,0,0.0,normal,1686,0.5,0.019991917070001364,-597.0,0,1→35,16,,tuning,1,True,0,True,alpha_beta_d6_b16,True,True,,
