dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
75,2,ぎ,0,3,3,3,1.000000
75,2,く,1,5,0,5,0.000000
75,2,げ,2,0,0,0,0.000000
75,2,こ,7,1,0,1,0.000000
75,2,ご,0,1,1,1,1.000000
75,2,し,4,0,0,0,0.000000
75,2,じ,2,2,2,2,1.000000
75,2,す,3,2,0,2,0.000000
75,2,そ,1,0,0,0,0.000000
75,2,ぞ,1,0,0,0,0.000000
75,2,た,1,0,0,0,0.000000
75,2,だ,2,0,0,0,0.000000
75,2,ち,0,1,1,1,1.000000
75,2,つ,1,3,0,3,0.000000
75,2,て,5,0,0,0,0.000000
75,2,で,2,0,0,0,0.000000
75,2,と,2,4,4,4,1.000000
75,2,ど,0,1,1,1,1.000000
75,2,な,2,1,0,1,0.000000
75,2,ね,1,0,0,0,0.000000
75,2,は,2,0,0,0,0.000000
75,2,ぱ,3,0,0,0,0.000000
75,2,ひ,3,0,0,0,0.000000
75,2,び,1,0,0,0,0.000000
75,2,ぴ,1,0,0,0,0.000000
75,2,ふ,1,1,0,1,0.000000
75,2,ぶ,1,1,0,1,0.000000
75,2,ぷ,1,0,0,0,0.000000
75,2,べ,1,0,0,0,0.000000
75,2,ほ,5,0,0,0,0.000000
75,2,ぼ,1,0,0,0,0.000000
75,2,ぽ,1,0,0,0,0.000000
75,2,ま,2,0,0,0,0.000000
75,2,み,1,0,0,0,0.000000
75,2,め,1,0,0,0,0.000000
75,2,や,3,3,0,3,0.000000
75,2,ゆ,1,1,1,1,1.000000
75,2,よ,0,1,1,1,1.000000
75,2,ら,0,2,2,2,1.000000
75,2,り,1,1,1,1,1.000000
75,2,る,0,4,4,4,1.000000
75,2,れ,1,0,0,0,0.000000
75,2,ろ,0,1,1,1,1.000000
75,2,ん,0,12,0,12,0.000000
75,3,あ,2,1,0,1,0.000000
75,3,い,3,8,0,8,0.000000
75,3,う,1,9,9,9,1.000000
75,3,お,2,1,0,1,0.000000
75,3,か,1,1,0,1,0.000000
75,3,が,1,1,0,1,0.000000
75,3,き,0,2,2,2,1.000000
75,3,ぎ,1,0,0,0,0.000000
75,3,く,2,4,0,4,0.000000
75,3,ぐ,0,1,1,1,1.000000
75,3,け,2,0,0,0,0.000000
75,3,げ,1,1,1,1,1.000000
75,3,こ,1,2,0,2,0.000000
75,3,さ,1,0,0,0,0.000000
75,3,し,6,1,0,1,0.000000
75,3,じ,2,1,0,1,0.000000
75,3,す,3,3,2,3,0.666667
75,3,せ,1,0,0,0,0.000000
75,3,そ,2,0,0,0,0.000000
75,3,た,0,1,1,1,1.000000
75,3,だ,1,0,0,0,0.000000
75,3,ち,1,0,0,0,0.000000
75,3,つ,1,7,6,7,0.857143
75,3,で,1,0,0,0,0.000000
75,3,と,1,2,0,2,0.000000
75,3,ど,3,1,0,1,0.000000
75,3,な,2,0,0,0,0.000000
75,3,に,1,1,1,1,1.000000
75,3,ね,0,1,1,1,1.000000
75,3,の,1,0,0,0,0.000000
75,3,は,2,0,0,0,0.000000
75,3,ぱ,1,0,0,0,0.000000
75,3,び,0,2,2,2,1.000000
75,3,ふ,5,1,0,1,0.000000
75,3,ぶ,0,1,1,1,1.000000
